date,time,latitude,longitude
30316,200848.00,2943.4372 N,9520.4977 W
30316,200850.00,2943.4362 N,9520.4986 W
30316,200852.00,2943.4352 N,9520.4982 W
30316,200854.00,2943.4346 N,9520.4986 W
30316,200856.00,2943.4346 N,9520.4990 W
30316,200858.00,2943.4346 N,9520.4993 W
30316,200900.00,2943.4344 N,9520.4994 W
30316,200902.00,2943.4339 N,9520.4998 W
30316,200904.00,2943.4334 N,9520.4999 W
30316,200906.00,2943.4330 N,9520.4995 W
30316,200908.00,2943.4324 N,9520.5004 W
30316,200910.00,2943.4314 N,9520.5007 W
30316,200912.00,2943.4304 N,9520.5013 W
30316,200914.00,2943.4296 N,9520.5016 W
30316,200916.00,2943.4283 N,9520.5027 W
30316,200918.00,2943.4269 N,9520.5033 W
30316,200920.00,2943.4260 N,9520.5034 W
30316,200922.00,2943.4251 N,9520.5035 W
30316,200924.00,2943.4252 N,9520.5033 W
30316,200926.00,2943.4255 N,9520.5033 W
30316,200928.00,2943.4250 N,9520.5033 W
30316,200930.00,2943.4242 N,9520.5041 W
30316,200932.00,2943.4234 N,9520.5048 W
30316,200934.00,2943.4220 N,9520.5048 W
30316,200936.00,2943.4203 N,9520.5053 W
30316,200938.00,2943.4185 N,9520.5057 W
30316,200940.00,2943.4169 N,9520.5062 W
30316,200942.00,2943.4155 N,9520.5065 W
30316,200944.00,2943.4142 N,9520.5068 W
30316,200946.00,2943.4127 N,9520.5066 W
30316,200948.00,2943.4115 N,9520.5059 W
30316,200950.00,2943.4107 N,9520.5054 W
30316,200952.00,2943.4097 N,9520.5047 W
30316,200954.00,2943.4086 N,9520.5042 W
30316,200956.00,2943.4082 N,9520.5037 W
30316,200958.00,2943.4077 N,9520.5032 W
30316,201000.00,2943.4069 N,9520.5030 W
30316,201002.00,2943.4070 N,9520.5025 W
30316,200938.00,2943.4185 N,9520.5057 W
030316,200940.00,2943.4169 N,9520.5062 W
030316,200942.00,2943.4155 N,9520.5065 W
030316,200944.00,2943.4142 N,9520.5068 W
030316,200946.00,2943.4127 N,9520.5066 W
030316,200948.00,2943.4115 N,9520.5059 W
030316,200950.00,2943.4107 N,9520.5054 W
030316,200952.00,2943.4097 N,9520.5047 W
030316,200954.00,2943.4086 N,9520.5042 W
030316,200956.00,2943.4082 N,9520.5037 W
030316,200958.00,2943.4077 N,9520.5032 W
030316,201000.00,2943.4069 N,9520.5030 W
030316,201002.00,2943.4070 N,9520.5025 W
